Method                                                   'brisque'     'niqe'     'piqe'      'nrqm'
Ground truth                                              37.88058    5.332089    25.036837   6.350567
BIMEF_default (mu = 0.5f, a = -0.3293f, b = 1.1258f )     27.131798   3.7939548   29.842422   7.688124 
BIMEF         (mu = 0.25f, a = -0.3293f, b = 1.1258f )    26.278748   3.9925375   30.12759    7.6177077
BIMEF         (mu = 0.1f, a = -0.3293f, b = 1.1258f )     26.85844    4.398723    31.038038   7.114119
BIMEF         (mu = 0.01f, a = -0.3293f, b = 1.1258f )    34.243652   5.1021533   28.022978   6.4235005
BIMEF         (mu = 1f, a = -0.3293f, b = 1.1258f )       27.7235     3.6961684   30.109509   7.610513 
BIMEF         (mu = 1.5f, a = -0.3293f, b = 1.1258f )     27.813911   3.676275    30.47212    7.5948467  
BIMEF         (mu = 2f, a = -0.3293f, b = 1.1258f )       27.883915   3.6780272   30.744167   7.58802  
BIMEF         (mu = 0.5f, a = -0.9f, b = 1.1258f )        53.834187   5.813675    50.044895   7.4777074
BIMEF         (mu = 0.5f, a = -0.1f, b = 1.1258f )        30.191437   4.721191    27.961311   6.8098  
BIMEF         (mu = 0.5f, a = -0.3293f, b = 1.5f )        28.194075   3.6956255   29.834896   7.636812 
BIMEF         (mu = 0.5f, a = -0.3293f, b = 0.5f )        26.010206   3.9950972   30.247845   7.6196375
